,occupancy,listing_count,availability_90,num_reviews,num_bath,num_bed,num_bedroom,min_nights,room_type,property_type,bathroom_type,has_about,has_neighborhood_overview,account_age,has_profile_pic,identity_verified,is_superhost,instant_bookable,neighbourhood
811,2,8,90,160,1.0,1.0,1.0,1,Entire home/apt,Entire condominium,regular,0,0,5,1,1,1,0,Yau Tsim Mong
812,2,14,0,26,1.0,1.0,1.0,1,Private room,igloo,regular,0,0,5,1,0,0,1,Islands
813,2,5,89,46,1.0,1.0,1.0,1,Private room,guesthouse,regular,0,0,4,1,0,0,1,Yau Tsim Mong
816,2,2,90,0,1.0,1.0,1.0,30,Entire home/apt,Entire apartment,regular,0,0,5,0,0,0,1,Wan Chai
818,2,6,0,28,2.0,2.0,2.0,2,Private room,apartment,regular,0,0,12,1,0,0,0,Yau Tsim Mong
820,2,1,89,2,1.0,1.0,1.0,2,Entire home/apt,Entire apartment,regular,0,0,4,1,0,0,0,Central & Western
821,2,2,90,1,1.0,2.0,1.0,1,Entire home/apt,Entire guest suite,regular,0,0,5,1,0,0,0,Yau Tsim Mong
822,2,0,89,0,1.0,1.0,7.0,1,Private room,hotel,regular,0,0,2,1,0,0,1,Yau Tsim Mong
823,2,2,2,2,1.0,1.0,1.0,1,Private room,condominium,regular,0,0,3,1,0,0,0,Sai Kung
824,2,1,0,1,1.0,2.0,1.0,1,Entire home/apt,Entire apartment,regular,0,0,4,1,0,0,0,Sham Shui Po
825,2,1,0,0,1.0,1.0,1.0,1,Private room,apartment,regular,0,0,5,1,0,0,0,Tuen Mun
826,2,1,90,3,8.0,1.0,10.0,1,Private room,hostel,regular,0,0,1,1,0,0,0,Yau Tsim Mong
827,2,0,88,0,1.5,0.0,1.0,1,Private room,serviced apartment,regular,0,0,1,1,0,0,0,Yau Tsim Mong
829,2,0,90,0,1.0,1.0,1.0,1,Entire home/apt,Entire apartment,regular,0,0,0,1,0,0,1,Central & Western
830,2,0,2,0,1.0,1.0,1.0,5,Entire home/apt,Entire apartment,regular,0,0,6,1,0,0,1,Islands
831,2,0,49,0,1.0,2.0,2.0,1,Entire home/apt,Entire house,regular,0,0,2,1,0,0,1,Sham Shui Po
832,2,3,88,0,1.0,2.0,1.0,5,Private room,condominium,regular,0,0,1,1,0,0,1,Yau Tsim Mong
833,2,0,90,0,1.0,1.0,1.0,1,Entire home/apt,Tiny house,regular,0,0,1,1,0,0,1,Yau Tsim Mong
834,2,7,0,10,0.0,1.0,1.0,1,Private room,apartment,regular,0,0,5,1,1,0,0,Wan Chai
835,2,7,0,47,0.0,2.0,1.0,1,Private room,serviced apartment,regular,0,0,5,1,1,0,0,Wan Chai
837,2,3,66,0,1.0,1.0,1.0,1,Private room,house,regular,0,0,2,1,1,0,0,Yuen Long
839,2,1,90,1,1.0,1.0,1.0,1,Private room,apartment,regular,0,0,4,1,1,0,1,Southern
840,2,0,81,0,1.0,1.0,1.0,30,Entire home/apt,Entire condominium,regular,0,0,0,1,1,0,1,Kwun Tong
842,2,0,0,0,1.0,1.0,1.0,1,Entire home/apt,Entire house,regular,0,0,1,1,1,0,1,North
843,2,0,40,0,1.0,1.0,1.0,7,Entire home/apt,Entire apartment,regular,0,0,0,1,1,0,1,Wan Chai
844,2,3,0,38,1.0,2.0,1.0,1,Private room,apartment,regular,0,0,4,1,1,0,0,Yau Tsim Mong
845,2,2,0,0,1.0,4.0,1.0,1,Private room,bed and breakfast,regular,0,0,5,1,1,0,0,Yuen Long
846,2,1,88,1,1.0,1.0,1.0,6,Entire home/apt,Entire condominium,regular,0,0,4,1,1,0,1,Tuen Mun
847,2,1,89,0,1.0,2.0,2.0,1,Entire home/apt,Entire apartment,regular,0,0,2,1,1,0,0,Kowloon City
848,2,1,66,0,1.5,1.0,1.0,1,Entire home/apt,Entire apartment,regular,0,0,1,1,1,0,0,North
849,2,1,0,0,1.0,1.0,1.0,120,Private room,apartment,regular,0,0,3,1,1,0,0,Sha Tin
850,2,1,0,0,1.0,1.0,1.0,3,Private room,apartment,regular,0,0,4,1,1,0,0,Tuen Mun
851,2,1,90,6,1.0,1.0,1.0,3,Private room,bed and breakfast,regular,0,0,6,1,1,0,0,Wan Chai
853,2,2,89,0,1.0,1.0,1.0,1,Private room,apartment,regular,0,0,4,1,1,0,1,Eastern
854,2,2,54,0,1.0,1.0,1.0,1,Private room,apartment,regular,0,0,5,1,1,1,0,Eastern
856,2,0,10,0,1.5,2.0,2.0,30,Private room,apartment,regular,0,1,5,1,0,0,0,Kwai Tsing
857,2,2,0,1,1.0,1.0,1.0,5,Entire home/apt,Entire apartment,regular,0,1,4,1,1,0,0,Central & Western
858,2,0,87,0,1.0,1.0,1.0,7,Entire home/apt,Entire condominium,regular,0,1,6,1,1,0,0,Central & Western
859,2,0,83,0,1.0,2.0,2.0,6,Private room,house,regular,0,1,10,1,1,0,0,Islands
860,2,0,0,0,1.0,1.0,1.0,2,Entire home/apt,Entire condominium,regular,0,1,4,1,0,0,0,Central & Western
861,2,1,0,10,1.0,1.0,1.0,3,Entire home/apt,Entire apartment,regular,0,1,2,1,0,0,0,Eastern
864,2,5,17,210,1.0,1.0,1.0,1,Private room,apartment,regular,0,1,5,1,0,0,1,Yau Tsim Mong
866,2,1,88,31,1.0,1.0,1.0,5,Entire home/apt,Entire apartment,regular,0,1,2,1,0,1,0,Yau Tsim Mong
867,2,5,90,1,1.0,1.0,1.0,1,Private room,apartment,regular,0,1,1,1,1,0,1,Eastern
869,2,1,3,2,1.0,1.0,1.0,5,Entire home/apt,Entire apartment,regular,0,1,2,1,1,0,0,Wan Chai
871,2,2,90,0,1.0,1.0,1.0,90,Entire home/apt,Entire serviced apartment,regular,0,1,0,1,1,0,0,North
872,2,3,8,4,1.0,1.0,1.0,8,Entire home/apt,Entire condominium,regular,0,1,4,1,1,0,0,Wan Chai
874,2,1,0,0,1.0,1.0,1.0,1,Private room,apartment,regular,0,1,3,1,1,0,0,North
875,2,2,88,0,1.5,2.0,1.0,15,Entire home/apt,Entire apartment,regular,0,1,2,1,1,0,0,Southern
876,2,1,0,10,1.0,1.0,1.0,3,Entire home/apt,Entire apartment,regular,0,1,5,1,1,0,1,Central & Western
877,2,10,129,0,2.0,3.0,2.0,12,Entire home/apt,Entire apartment,regular,0,1,12,1,1,0,1,Yau Tsim Mong
878,2,1,90,1,1.0,1.0,1.0,1,Private room,serviced apartment,regular,0,1,1,1,1,0,0,Sham Shui Po
880,2,2,90,3,1.0,1.0,1.0,1,Entire home/apt,Entire condominium,regular,0,1,1,1,1,1,1,Yuen Long
881,2,1,41,11,1.0,1.0,1.0,2,Entire home/apt,Entire apartment,regular,0,1,7,1,1,0,0,Central & Western
882,2,1,1,9,1.0,1.0,1.0,2,Entire home/apt,Entire condominium,regular,0,1,7,1,0,0,0,Wan Chai
886,2,1,90,9,1.0,1.0,1.0,2,Entire home/apt,Entire apartment,regular,0,1,2,1,1,0,0,Eastern
888,2,1,78,17,1.0,1.0,1.0,2,Entire home/apt,Entire apartment,regular,0,1,4,1,0,0,0,Central & Western
889,2,1,87,28,2.0,1.0,1.0,3,Entire home/apt,Entire apartment,regular,0,1,3,1,1,0,0,Central & Western
891,2,2,0,3,1.5,1.0,1.0,1,Private room,apartment,regular,0,1,4,1,0,0,0,Yau Tsim Mong
892,2,0,81,3,1.0,1.0,1.0,1,Entire home/apt,Entire apartment,regular,0,1,5,1,1,0,0,North
894,2,1,23,4,1.0,1.0,1.0,7,Entire home/apt,Entire apartment,regular,0,1,4,1,0,0,0,Central & Western
895,2,2,83,8,1.0,1.0,1.0,2,Entire home/apt,Entire apartment,regular,0,1,5,1,0,0,0,Central & Western
896,2,8,113,7,1.0,2.0,2.0,6,Private room,apartment,regular,0,1,10,1,0,1,0,Central & Western
899,2,18,70,2,1.0,1.0,1.0,28,Entire home/apt,Entire guesthouse,regular,0,1,1,1,1,0,1,Wan Chai
902,2,3,0,2,1.0,1.0,1.0,1,Private room,apartment,regular,0,1,6,1,0,0,0,Yau Tsim Mong
903,2,2,90,0,1.0,1.0,1.0,28,Entire home/apt,Entire guest suite,regular,0,1,3,1,0,0,1,Sham Shui Po
904,2,25,90,10,1.0,1.0,1.0,2,Private room,hostel,regular,0,1,2,1,0,0,0,Yau Tsim Mong
905,2,18,90,0,2.0,2.0,2.0,56,Private room,apartment,regular,0,1,6,1,0,0,1,Wan Chai
906,2,1,89,17,1.0,1.0,1.0,1,Private room,apartment,regular,0,1,5,1,1,0,0,Central & Western
907,2,3,89,10,1.0,1.0,1.0,1,Private room,apartment,regular,0,1,4,1,1,0,0,Kowloon City
908,2,2,0,0,1.0,1.0,1.0,2,Entire home/apt,Entire condominium,regular,0,1,6,1,1,0,0,Eastern
911,2,0,88,0,2.0,2.0,2.0,1,Private room,apartment,regular,0,1,0,1,1,0,1,Kowloon City
912,2,0,90,0,1.0,2.0,2.0,30,Entire home/apt,Entire house,regular,0,1,0,1,1,0,1,Yuen Long
913,2,1,90,1,1.0,3.0,1.0,1,Entire home/apt,Entire house,regular,0,1,5,1,1,0,1,Kowloon City
914,2,1,0,0,1.5,3.0,1.0,7,Private room,apartment,regular,0,1,3,1,1,0,1,Kowloon City
915,2,1,89,0,1.0,2.0,1.0,60,Private room,apartment,regular,0,1,5,1,1,0,0,Central & Western
917,2,0,89,0,0.5,1.0,1.0,1,Entire home/apt,Entire serviced apartment,regular,0,1,1,1,1,0,0,North
918,2,2,88,0,1.0,1.0,1.0,2,Entire home/apt,Entire loft,regular,0,1,3,1,1,0,0,Wan Chai
919,2,1,66,0,1.0,1.0,1.0,1,Entire home/apt,Entire serviced apartment,regular,0,1,1,1,1,0,1,Yuen Long
920,2,2,90,48,1.5,1.0,1.0,1,Private room,apartment,regular,0,1,5,1,1,1,0,Sham Shui Po
921,2,9,90,0,1.5,2.0,1.0,2,Private room,condominium,regular,1,0,6,1,1,0,0,Yau Tsim Mong
924,2,9,10,1,1.5,0.0,1.0,1,Private room,tiny house,regular,1,0,3,1,1,0,0,Yau Tsim Mong
926,2,18,90,0,1.0,1.0,1.0,1,Private room,boutique hotel,regular,1,0,1,1,1,0,1,Kowloon City
928,2,9,88,0,1.0,1.0,1.0,2,Entire home/apt,Entire apartment,regular,1,0,9,1,1,0,0,Central & Western
930,2,2,90,0,1.5,2.0,1.0,1,Private room,apartment,regular,1,0,2,1,1,0,0,Yuen Long
931,2,30,90,0,1.0,1.0,1.0,1,Private room,condominium,regular,1,0,5,1,1,0,0,Yau Tsim Mong
932,2,60,179,1,2.0,2.0,2.0,2,Private room,aparthotel,regular,1,0,10,1,1,0,0,Yau Tsim Mong
933,2,30,77,0,1.0,1.0,1.0,28,Private room,apartment,regular,1,0,6,1,1,0,0,Yau Tsim Mong
934,2,12,80,0,1.0,1.0,1.0,1,Private room,serviced apartment,regular,1,0,5,1,1,0,0,Yau Tsim Mong
935,2,12,81,1,1.0,1.0,1.0,1,Private room,apartment,regular,1,0,5,1,1,0,1,Yau Tsim Mong
940,2,4,83,5,3.0,1.0,1.0,30,Private room,serviced apartment,regular,1,0,5,1,0,0,1,Yau Tsim Mong
941,2,1,23,0,1.0,1.0,1.0,1,Entire home/apt,Entire apartment,regular,1,0,2,1,0,0,0,Kwun Tong
943,2,4,29,0,1.0,1.0,1.0,2,Entire home/apt,Entire guest suite,regular,1,0,4,1,1,0,0,Yau Tsim Mong
944,2,1,83,1,1.0,1.0,1.0,2,Private room,apartment,regular,1,0,4,1,1,0,0,Central & Western
946,2,1,0,2,1.0,1.0,1.0,1,Entire home/apt,Entire apartment,regular,1,0,8,1,0,0,0,Central & Western
947,2,2,0,1,1.0,1.0,1.0,1,Entire home/apt,Entire apartment,regular,1,0,7,1,1,0,0,Central & Western
948,2,1,87,0,1.0,1.0,1.0,1,Private room,apartment,regular,1,0,5,1,1,0,0,Central & Western
949,2,1,0,0,1.0,1.0,2.0,1,Entire home/apt,Entire condominium,regular,1,0,6,1,1,0,0,Sai Kung
950,2,1,82,10,1.5,1.0,1.0,2,Entire home/apt,Entire apartment,regular,1,0,5,1,1,0,0,Central & Western
953,2,1,21,0,1.0,1.0,1.0,3,Entire home/apt,Entire apartment,regular,1,0,6,1,1,0,0,Central & Western
954,2,1,0,17,1.0,1.0,1.0,14,Entire home/apt,Entire apartment,regular,1,0,4,1,0,0,1,Central & Western
955,2,6,178,10,5.0,2.0,2.0,56,Private room,apartment,regular,1,0,8,1,0,1,0,Yau Tsim Mong
956,2,1,89,3,1.5,0.0,1.0,1,Private room,tiny house,regular,1,0,1,1,1,0,1,Central & Western
957,2,0,4,0,1.0,1.0,2.0,2,Entire home/apt,Entire apartment,regular,1,0,8,1,1,0,1,Islands
958,2,12,90,1,1.0,2.0,1.0,1,Entire home/apt,Entire townhouse,regular,1,0,8,1,1,0,0,Sham Shui Po
959,2,1,0,2,1.0,1.0,1.0,15,Entire home/apt,Entire apartment,regular,1,0,6,1,1,0,0,Wan Chai
960,2,12,90,2,1.0,2.0,1.0,1,Private room,apartment,regular,1,0,8,1,1,0,0,Wan Chai
961,2,12,89,0,1.0,1.0,1.0,1,Entire home/apt,Entire apartment,regular,1,0,8,1,1,0,1,Central & Western
962,2,12,90,2,1.0,1.0,1.0,1,Entire home/apt,Entire serviced apartment,regular,1,0,8,1,1,0,1,Wan Chai
964,2,12,90,0,1.5,1.0,1.0,28,Entire home/apt,Entire condominium,regular,1,0,4,1,1,0,0,Eastern
965,2,17,90,7,1.5,1.0,1.0,1,Entire home/apt,Entire apartment,regular,1,0,3,1,1,0,0,North
968,2,4,82,3,1.0,1.0,1.0,1,Entire home/apt,Entire apartment,regular,1,0,1,1,1,0,1,North
971,2,18,90,0,1.0,1.0,1.0,1,Private room,kezhan,regular,1,0,1,1,1,0,0,Yau Tsim Mong
972,2,18,90,0,1.0,1.0,1.0,1,Private room,boutique hotel,regular,1,0,1,1,1,0,1,Kowloon City
973,2,18,90,1,1.0,1.0,1.0,1,Private room,kezhan,regular,1,0,1,1,1,0,1,Yau Tsim Mong
974,2,10,3,0,1.0,1.0,1.0,1,Private room,bed and breakfast,regular,1,0,5,1,1,0,1,Yau Tsim Mong
975,2,10,90,15,1.0,1.0,1.0,1,Hotel room,bed and breakfast,regular,1,0,5,1,1,0,1,Yau Tsim Mong
976,2,1,80,3,1.5,1.0,1.0,3,Private room,apartment,regular,1,0,6,1,1,0,0,Central & Western
977,2,7,90,35,1.0,2.0,1.0,2,Private room,apartment,regular,1,0,6,1,1,0,0,Yau Tsim Mong
978,2,27,0,0,1.0,1.0,1.0,1,Private room,hostel,regular,1,0,6,1,1,0,1,Yau Tsim Mong
979,2,27,90,0,1.0,1.0,1.0,1,Private room,house,regular,1,0,6,1,1,0,1,Yau Tsim Mong
980,2,0,45,0,1.0,2.0,2.0,2,Entire home/apt,Entire apartment,regular,1,0,6,1,1,1,1,Wan Chai
981,2,3,18,43,1.0,1.0,1.0,14,Private room,apartment,regular,1,0,6,1,1,1,1,Wan Chai
983,2,9,36,1,1.0,0.0,1.0,7,Entire home/apt,Entire apartment,regular,1,0,6,1,1,1,0,Central & Western
984,2,3,80,88,1.0,1.0,1.0,3,Entire home/apt,Entire condominium,regular,1,0,3,1,1,1,0,Wan Chai
985,2,23,89,0,2.5,0.0,1.0,2,Private room,apartment,regular,1,0,5,1,1,0,0,Sai Kung
986,2,1,49,15,1.5,1.0,1.0,2,Entire home/apt,Entire apartment,regular,1,0,2,1,0,0,0,Central & Western
987,2,2,0,1,1.0,1.0,1.0,2,Entire home/apt,Entire apartment,regular,1,0,6,1,0,0,0,Central & Western
988,2,9,86,0,1.0,1.0,1.0,2,Entire home/apt,Entire apartment,regular,1,0,9,1,1,0,0,Central & Western
989,2,3,63,1,1.0,1.0,1.0,28,Entire home/apt,Entire apartment,regular,1,0,7,1,1,0,0,Central & Western
992,2,2,14,14,1.0,2.0,1.0,2,Entire home/apt,Entire apartment,regular,1,0,8,1,1,1,0,Central & Western
993,2,532,179,2,2.0,2.0,1.0,59,Private room,apartment,regular,1,0,16,1,0,1,0,Kowloon City
994,2,266,89,0,1.0,1.0,1.0,29,Private room,apartment,regular,1,0,8,1,0,1,1,Wan Chai
995,2,266,90,1,1.0,1.0,1.0,31,Private room,apartment,regular,1,0,8,1,0,1,1,Yau Tsim Mong
996,2,202,178,1,0.0,2.0,1.0,60,Private room,serviced apartment,regular,1,0,12,1,1,0,0,Kowloon City
998,2,2,56,2,1.5,1.0,1.0,30,Private room,apartment,regular,1,0,3,1,1,0,0,Kwun Tong
999,2,0,20,5,1.0,1.0,1.0,5,Entire home/apt,Entire apartment,regular,1,0,8,1,0,0,1,Central & Western
1001,2,2,89,4,1.5,2.0,1.0,1,Private room,apartment,regular,1,0,2,1,1,0,0,Yuen Long
1005,2,460,178,0,3.0,1.0,2.0,58,Shared room,apartment,regular,1,0,8,1,1,1,0,Yau Tsim Mong
1006,2,0,43,18,1.0,1.0,1.0,1,Entire home/apt,Entire apartment,regular,1,0,9,1,1,0,0,Islands
1007,2,2,21,63,1.0,2.0,1.0,3,Entire home/apt,Entire apartment,regular,1,0,5,1,1,0,0,Central & Western
1008,2,8,0,8,2.5,0.0,1.0,122,Entire home/apt,Entire apartment,regular,1,0,16,1,0,1,0,Wan Chai
1011,2,2,82,1,1.0,1.0,3.0,5,Private room,apartment,regular,1,0,1,1,1,0,0,Islands
1014,2,1,49,20,1.0,1.0,1.0,1,Entire home/apt,Entire condominium,regular,1,0,4,1,1,0,1,Sham Shui Po
1015,2,54,49,7,1.0,2.0,1.0,1,Private room,guesthouse,regular,1,0,5,1,0,0,0,Yau Tsim Mong
1017,2,0,67,8,1.5,1.0,1.0,29,Entire home/apt,Entire apartment,regular,1,0,1,1,1,0,0,Yau Tsim Mong
1019,2,9,0,2,1.0,2.0,1.0,1,Entire home/apt,Entire apartment,regular,1,0,4,1,1,0,1,North
1024,2,32,90,0,1.5,2.0,1.0,28,Private room,hostel,regular,1,0,7,1,1,1,0,Yau Tsim Mong
1025,2,32,13,0,1.0,2.0,1.0,1,Private room,apartment,regular,1,0,7,1,1,1,1,Yau Tsim Mong
1026,2,7,90,5,1.5,0.0,1.0,1,Private room,condominium,regular,1,0,5,1,0,0,0,Yau Tsim Mong
1027,2,1,89,2,1.0,1.0,1.0,3,Entire home/apt,Entire condominium,regular,1,0,2,1,0,0,1,Tai Po
1028,2,0,90,0,1.0,1.0,1.0,1,Entire home/apt,Entire apartment,regular,1,0,0,1,0,0,1,Tsuen Wan
1029,2,4,89,0,1.0,1.0,1.0,25,Private room,apartment,regular,1,0,5,1,0,0,0,Eastern
1030,2,6,76,11,1.5,1.0,1.0,30,Entire home/apt,Entire apartment,regular,1,0,4,1,0,0,0,Sham Shui Po
1031,2,1,89,36,1.0,1.0,1.0,2,Entire home/apt,Entire apartment,regular,1,0,7,1,0,0,0,Central & Western
1034,2,1,65,0,1.0,1.0,1.0,1,Entire home/apt,Entire apartment,regular,1,0,4,1,1,0,0,Central & Western
1035,2,4,90,0,1.0,1.0,1.0,1,Private room,apartment,regular,1,0,8,1,1,0,0,Eastern
1036,2,2,83,0,1.0,2.0,1.0,3,Entire home/apt,Entire house,regular,1,0,9,1,1,0,0,North
1039,2,4,89,0,1.0,1.0,1.0,2,Entire home/apt,Entire guest suite,regular,1,0,4,1,1,0,0,Yau Tsim Mong
1040,2,16,90,0,1.0,1.0,1.0,1,Private room,apartment,regular,1,0,8,1,1,0,0,Yau Tsim Mong
1041,2,8,80,3,1.0,1.0,1.0,6,Entire home/apt,Entire house,regular,1,0,6,1,1,0,1,Wan Chai
1042,2,8,90,3,1.0,1.0,1.0,3,Private room,Private room,regular,1,0,6,1,1,0,1,Wan Chai
1043,2,9,89,0,1.0,1.0,1.0,1,Private room,apartment,regular,1,0,7,1,1,0,0,Kowloon City
1044,2,9,90,0,1.0,1.0,1.0,1,Private room,condominium,regular,1,0,7,1,1,0,1,Kowloon City
1045,2,9,1,3,0.0,2.0,1.0,1,Shared room,apartment,regular,1,0,6,1,1,0,1,Yau Tsim Mong
1047,2,1,89,1,1.0,1.0,1.0,30,Entire home/apt,Entire apartment,regular,1,0,6,1,1,0,0,North
1048,2,4,50,0,1.0,1.0,1.0,30,Entire home/apt,Entire apartment,regular,1,0,6,1,1,0,0,Yau Tsim Mong
1049,2,14,90,0,1.0,1.0,1.0,1,Entire home/apt,Entire house,regular,1,0,3,1,1,0,0,Yau Tsim Mong
1050,2,2,89,0,1.0,1.0,1.0,28,Private room,apartment,regular,1,0,6,1,1,0,0,Yau Tsim Mong
1053,2,1,0,1,1.0,2.0,1.0,1,Private room,apartment,regular,1,0,7,1,1,0,1,Eastern
1054,2,7,66,1,3.0,1.0,1.0,300,Private room,apartment,regular,1,0,2,1,1,0,1,Yuen Long
1055,2,1,0,14,1.0,1.0,1.0,4,Entire home/apt,Entire apartment,regular,1,1,7,1,0,0,0,Central & Western
1056,2,0,66,71,1.0,1.0,1.0,1,Private room,apartment,regular,1,1,5,1,1,0,0,North
1057,2,1,0,9,1.0,1.0,2.0,1,Entire home/apt,Entire apartment,regular,1,1,6,1,1,0,0,Central & Western
1058,2,2,90,9,1.0,1.0,1.0,1,Private room,apartment,regular,1,1,7,1,1,0,0,Central & Western
1059,2,1,50,36,1.0,1.0,1.0,2,Entire home/apt,Entire apartment,regular,1,1,6,1,1,0,0,Eastern
1060,2,2,88,41,1.0,1.0,1.0,1,Private room,apartment,regular,1,1,6,1,1,0,0,Kwai Tsing
1061,2,1,79,0,1.0,1.0,1.0,28,Entire home/apt,Entire apartment,regular,1,1,3,1,0,0,1,Sham Shui Po
1062,2,15,10,40,1.0,2.0,1.0,2,Hotel room,bed and breakfast,regular,1,1,5,1,0,0,0,Yau Tsim Mong
1064,2,0,40,41,1.0,1.0,1.0,2,Private room,apartment,regular,1,1,4,1,0,0,1,Eastern
1065,2,1,89,29,1.0,1.0,1.0,4,Entire home/apt,Entire apartment,regular,1,1,4,1,0,0,0,Wan Chai
1066,2,7,90,19,1.0,1.0,1.0,1,Private room,boutique hotel,regular,1,1,4,1,0,0,1,Southern
1067,2,43,80,1,1.0,1.0,1.0,1,Private room,condominium,regular,1,1,5,1,0,0,1,Yau Tsim Mong
1068,2,0,90,0,1.0,1.0,1.0,1,Entire home/apt,Entire apartment,regular,1,1,0,1,0,0,1,Kowloon City
1069,2,3,89,2,1.0,2.0,1.0,1,Hotel room,hostel,regular,1,1,3,1,0,0,1,Yau Tsim Mong
1071,2,12,90,3,1.0,1.0,1.0,1,Entire home/apt,Entire serviced apartment,regular,1,1,8,1,1,0,0,Yau Tsim Mong
1072,2,0,88,3,1.0,2.0,1.0,2,Entire home/apt,Entire loft,regular,1,1,5,1,1,0,0,Kwai Tsing
1074,2,9,90,0,1.0,1.0,1.0,90,Entire home/apt,Entire house,regular,1,1,1,1,1,0,1,North
1075,2,0,9,3,1.0,1.0,1.0,5,Entire home/apt,Entire apartment,regular,1,1,4,1,1,0,1,Southern
1076,2,18,90,0,1.0,1.0,1.0,1,Private room,kezhan,regular,1,1,1,1,1,0,1,Yau Tsim Mong
1077,2,0,90,0,1.5,0.0,1.0,1,Private room,hotel,regular,1,1,1,1,1,0,1,Kowloon City
1079,2,6,90,6,1.0,1.0,1.0,1,Private room,serviced apartment,regular,1,1,5,1,1,0,1,Yau Tsim Mong
1080,2,4,88,40,1.5,1.0,1.0,1,Entire home/apt,Entire condominium,regular,1,1,4,1,1,0,1,Yau Tsim Mong
1081,2,1,80,1,1.0,1.0,1.0,2,Entire home/apt,Entire house,regular,1,1,1,1,1,0,0,Eastern
1082,2,1,0,119,1.0,1.0,1.0,2,Entire home/apt,Entire apartment,regular,1,1,5,1,1,0,0,Islands
1083,2,1,45,1,1.0,0.0,1.0,2,Entire home/apt,Earth house,regular,1,1,3,1,1,0,0,Southern
1085,2,2,132,1,2.0,2.0,2.0,2,Entire home/apt,Entire apartment,regular,1,1,0,1,1,0,1,Yuen Long
1086,2,4,67,5,1.0,1.0,1.0,1,Entire home/apt,Entire condominium,regular,1,1,4,1,1,0,1,Yuen Long
1087,2,4,80,2,1.0,1.0,1.0,30,Entire home/apt,Entire apartment,regular,1,1,6,1,1,1,0,Kowloon City
1089,2,1,81,160,1.0,1.0,1.0,1,Entire home/apt,Entire condominium,regular,1,1,5,1,1,1,0,Islands
1090,2,1,0,68,1.5,1.0,1.0,1,Private room,townhouse,regular,1,1,3,1,1,1,0,Sha Tin
1091,2,1,86,16,1.5,2.0,1.0,1,Entire home/apt,Entire apartment,regular,1,1,5,1,1,1,0,Yau Tsim Mong
1092,2,12,88,22,1.5,1.0,1.0,1,Entire home/apt,Entire serviced apartment,regular,1,1,1,1,1,1,1,Yau Tsim Mong
1093,2,10,79,2,1.0,1.0,1.0,1,Entire home/apt,Entire condominium,regular,1,1,2,1,1,1,1,Yuen Long
1094,2,2,54,35,1.0,1.0,1.0,2,Entire home/apt,Entire apartment,regular,1,1,7,1,1,0,0,Central & Western
1095,2,1,83,23,1.0,1.0,1.0,30,Entire home/apt,Entire apartment,regular,1,1,8,1,0,0,0,Central & Western
1099,2,0,1,3,1.0,1.0,1.0,1,Entire home/apt,Entire condominium,regular,1,1,7,1,1,0,0,Wan Chai
1100,2,0,89,0,2.0,1.0,1.0,1,Private room,apartment,regular,1,1,7,1,1,0,0,Wan Chai
1101,2,225,89,0,1.0,1.0,1.0,25,Entire home/apt,Entire serviced apartment,regular,1,1,3,1,1,0,0,Eastern
1103,2,3,82,30,1.0,1.0,1.0,1,Private room,nature lodge,regular,1,1,7,1,1,1,0,Islands
1104,2,1,0,5,1.0,1.0,1.0,3,Entire home/apt,Entire apartment,regular,1,1,8,1,0,0,0,Central & Western
1105,2,2,90,10,1.0,1.0,1.0,5,Entire home/apt,Entire apartment,regular,1,1,5,1,1,0,1,Central & Western
1106,2,2,24,2,1.0,1.0,1.0,5,Entire home/apt,Entire apartment,regular,1,1,5,1,1,0,0,Central & Western
1107,2,1,49,36,1.0,1.0,2.0,2,Entire home/apt,Entire apartment,regular,1,1,4,1,1,0,0,Central & Western
1108,2,5,64,0,1.5,1.0,1.0,2,Entire home/apt,Entire apartment,regular,1,1,6,1,1,0,0,Central & Western
1109,2,1,23,14,1.0,1.0,1.0,6,Entire home/apt,Entire apartment,regular,1,1,6,1,1,0,0,Wan Chai
1110,2,1,79,17,1.0,1.0,1.0,2,Entire home/apt,Entire apartment,regular,1,1,4,1,1,0,1,Wan Chai
1111,2,1,80,21,1.0,1.0,1.0,3,Entire home/apt,Entire apartment,regular,1,1,4,1,1,0,1,Central & Western
1112,2,532,179,2,1.0,2.0,2.0,61,Private room,apartment,regular,1,1,16,1,0,1,0,Central & Western
1113,2,266,90,0,1.0,1.0,1.0,30,Private room,apartment,regular,1,1,8,1,0,1,0,Wan Chai
1114,2,0,90,1,1.0,1.0,1.0,3,Entire home/apt,Entire condominium,regular,1,1,3,1,1,0,1,Kowloon City
1115,2,0,0,1,1.5,1.0,1.0,1,Entire home/apt,Entire apartment,regular,1,1,3,1,1,0,1,Yuen Long
1116,2,6,80,5,1.5,1.0,1.0,1,Private room,guest suite,regular,1,1,2,1,1,0,1,Wan Chai
1118,2,6,80,20,1.0,1.0,1.0,1,Entire home/apt,Entire apartment,regular,1,1,6,1,1,0,0,Sham Shui Po
1120,2,2,70,47,1.0,1.0,1.0,4,Entire home/apt,Entire apartment,regular,1,1,8,1,1,0,0,Central & Western
1121,2,1,0,5,1.0,2.0,2.0,7,Entire home/apt,Entire apartment,regular,1,1,9,1,0,0,0,Wan Chai
1123,2,2,0,3,1.0,2.0,1.0,2,Entire home/apt,Entire apartment,regular,1,1,8,1,1,0,0,Central & Western
1124,2,2,80,48,1.0,1.0,1.0,2,Entire home/apt,Entire apartment,regular,1,1,4,1,1,1,0,Islands
