,occupancy,listing_count,availability_90,num_reviews,num_bath,num_bed,num_bedroom,min_nights,room_type,property_type,bathroom_type,has_about,has_neighborhood_overview,account_age,has_profile_pic,identity_verified,is_superhost,instant_bookable,neighbourhood
2253,4,7,89,47,1.0,2.0,1.0,1,Private room,apartment,shared,0,1,5,1,0,1,1,Yau Tsim Mong
2254,4,10,180,2,2.0,1.0,2.0,2,Private room,apartment,shared,0,1,2,1,1,0,1,Eastern
2255,4,4,90,0,2.0,2.0,1.0,1,Shared room,hostel,shared,0,1,2,1,1,0,1,North
2256,4,6,178,5,2.0,2.0,2.0,7,Private room,apartment,shared,0,1,5,1,0,0,0,Wan Chai
2257,4,1,0,0,2.0,1.0,2.0,4,Private room,apartment,shared,0,1,9,1,1,0,0,Wan Chai
2258,4,18,179,37,2.0,0.0,2.0,4,Private room,apartment,shared,1,0,12,1,1,0,1,Yau Tsim Mong
2259,4,532,91,0,4.0,2.0,2.0,58,Shared room,apartment,shared,1,0,16,1,0,1,0,Wan Chai
2260,4,772,180,0,2.0,2.0,2.0,58,Private room,apartment,shared,1,0,14,1,0,1,0,Sham Shui Po
2261,4,1544,269,0,4.0,4.0,4.0,116,Shared room,apartment,shared,1,0,28,1,0,1,0,Wan Chai
2262,4,1476,271,0,4.0,4.0,4.0,337,Shared room,apartment,shared,1,0,16,1,0,0,0,Sham Shui Po
2263,4,738,180,0,2.0,2.0,2.0,58,Private room,apartment,shared,1,0,8,1,0,0,1,Wan Chai
2264,4,18,101,59,2.0,2.0,5.0,2,Private room,house,shared,1,0,8,1,1,0,1,North
2265,4,9,84,34,1.0,3.0,1.0,1,Shared room,house,shared,1,0,4,1,1,0,1,North
2267,4,28,360,423,8.0,4.0,4.0,112,Shared room,apartment,shared,1,0,32,1,0,0,0,Yau Tsim Mong
2268,4,6,0,0,1.0,4.0,1.0,1,Private room,bed and breakfast,shared,1,1,1,1,1,0,1,Yau Tsim Mong
2269,4,4,80,76,2.0,2.0,2.0,2,Private room,house,shared,1,1,4,1,1,1,0,Yau Tsim Mong
